"","Full Date w/ R","variable","value"
"141",2016-01-06 20:00:00,"Method One",1.40337566615874e-05
"142",2016-01-06 21:00:00,"Method One",0.000339518154239869
"143",2016-01-06 22:00:00,"Method One",2.52526920859463e-05
"144",2016-01-06 23:00:00,"Method One",3.35012930846979e-06
"145",2016-01-07 00:00:00,"Method One",0.00669977969099865
"146",2016-01-07 01:00:00,"Method One",0.000494110443368498
"147",2016-01-07 02:00:00,"Method One",3.00306954879001e-06
"148",2016-01-07 03:00:00,"Method One",0.000494110443368498
"149",2016-01-07 04:00:00,"Method One",0.00669977969099865
"150",2016-01-07 05:00:00,"Method One",0.00061275306213452
"151",2016-01-07 06:00:00,"Method One",0.000339518154239869
"152",2016-01-07 07:00:00,"Method One",0.000617116749103463
"153",2016-01-07 08:00:00,"Method One",0.000617116749103463
"154",2016-01-07 09:00:00,"Method One",0.000724582791625915
"155",2016-01-07 10:00:00,"Method One",0.000339518154239869
"156",2016-01-07 11:00:00,"Method One",0.000450405103822119
"157",2016-01-07 12:00:00,"Method One",2.52526920859463e-05
"158",2016-01-07 13:00:00,"Method One",3.30300318877354e-06
"159",2016-01-07 14:00:00,"Method One",0.00061275306213452
"160",2016-01-07 15:00:00,"Method One",0.00061275306213452
"161",2016-01-07 16:00:00,"Method One",0.00061275306213452
"162",2016-01-07 17:00:00,"Method One",0.000450405103822119
"163",2016-01-07 18:00:00,"Method One",0.000339518154239869
"164",2016-01-07 19:00:00,"Method One",0.000339518154239869
"165",2016-01-07 20:00:00,"Method One",0.000339518154239869
"166",2016-01-07 21:00:00,"Method One",2.52526920859463e-05
"167",2016-01-07 22:00:00,"Method One",0.000933047144536056
"168",2016-01-07 23:00:00,"Method One",0.00186063671502674
"169",2016-01-08 00:00:00,"Method One",0.00127805443253511
"170",2016-01-08 01:00:00,"Method One",2.13841572692277e-06
"171",2016-01-08 02:00:00,"Method One",2.13841572692277e-06
"172",2016-01-08 03:00:00,"Method One",2.13841572692277e-06
"173",2016-01-08 04:00:00,"Method One",2.13841572692277e-06
"174",2016-01-08 05:00:00,"Method One",2.91232726430139e-06
"175",2016-01-08 06:00:00,"Method One",3.73765429740907e-06
"176",2016-01-08 07:00:00,"Method One",0.000450405103822119
"177",2016-01-08 08:00:00,"Method One",0.000339518154239869
