"","Date","Method 1","Method 2","Method 3"
"3602",2016-05-30 02:00:00,0.361672168213929,0.583279204,0.375352155841553
"3603",2016-05-30 03:00:00,0.593072068518468,0.375352156,0.372384684634078
"3604",2016-05-30 04:00:00,0.620999979462518,0.645195161,0.384610003406455
"3605",2016-05-30 05:00:00,0.593072068518468,0.375352156,0.372384684634078
"3606",2016-05-30 06:00:00,0.593072068518468,0.375352156,0.372384684634078
"3607",2016-05-30 07:00:00,0.840652770902575,0.388676331,0.382848121859856
"3608",2016-05-30 08:00:00,0.577529799207168,0.396051484,0.54640447256396
"3609",2016-05-30 09:00:00,0.574773682666262,0.635205934,0.591751728156238
"3610",2016-05-30 10:00:00,0.54930061514232,0.593072069,0.737325768232607
"3611",2016-05-30 11:00:00,0.949858550799343,0.508584648,0.840652770902575
"3612",2016-05-30 12:00:00,0.382848121859856,0.880313314,0.850696328508536
"3613",2016-05-30 13:00:00,0.844314651230429,0.737325768,0.880313314356754
"3614",2016-05-30 14:00:00,0.534326600233888,0.878121405,0.878121404535143
"3615",2016-05-30 15:00:00,0.534326600233888,0.878121405,0.878121404535143
"3616",2016-05-30 16:00:00,0.654973059188565,0.878121405,0.878121404535143
"3617",2016-05-30 17:00:00,0.552098771136191,0.878121405,0.577529799207168
"3618",2016-05-30 18:00:00,0.850696328508536,0.794286711,0.597965601325879
"3619",2016-05-30 19:00:00,0.654973059188565,0.878121405,0.878121404535143
"3620",2016-05-30 20:00:00,0.844314651230429,0.878121405,0.878121404535143
"3621",2016-05-30 21:00:00,0.844314651230429,0.737325768,0.878121404535143
"3622",2016-05-30 22:00:00,0.838628059148725,0.875696891,0.840652770902575
"3623",2016-05-30 23:00:00,0.945405589825953,0.556444627,0.556444627365279
"3624",2016-05-31 00:00:00,0.499819453197184,0.457450761,0.657801190614453
"3625",2016-05-31 01:00:00,0.828396625423687,0.382848122,0.43037637779984
"3626",2016-05-31 02:00:00,0.805600369708425,0.593367215,0.54640447256396
"3627",2016-05-31 03:00:00,0.645195161474608,0.581067331,0.375352155841553
"3628",2016-05-31 04:00:00,0.805600369708425,0.588961094,0.375352155841553
"3629",2016-05-31 05:00:00,0.828396625423687,0.382848122,0.43037637779984
"3630",2016-05-31 06:00:00,0.644054485490135,0.657801191,0.824066703867075
"3631",2016-05-31 07:00:00,0.382848121859856,0.858503181,0.850696328508536
"3632",2016-05-31 08:00:00,0.577529799207168,0.880313314,0.794286710790374
"3633",2016-05-31 09:00:00,0.561320272782288,0.878121405,0.874387101597287
"3634",2016-05-31 10:00:00,0.878121404535143,0.874387102,0.949858550799343
"3635",2016-05-31 11:00:00,0.915369143996401,0.672625333,0.891639176860604
"3636",2016-05-31 12:00:00,0.613355446043202,0.949858551,0.593072068518468
"3637",2016-05-31 13:00:00,0.876162899966894,0.891639177,0.737325768232607
"3638",2016-05-31 14:00:00,0.635205933699852,0.577529799,0.844314651230429
"3639",2016-05-31 15:00:00,0.85850318051744,0.844314651,0.83224283024615
"3640",2016-05-31 16:00:00,0.602065026612092,0.83224283,0.854842567992948
"3641",2016-05-31 17:00:00,0.602065026612092,0.83224283,0.854842567992948
"3642",2016-05-31 18:00:00,0.602065026612092,0.560293998,0.854842567992948
"3643",2016-05-31 19:00:00,0.54930061514232,0.891639177,0.844314651230429
"3644",2016-05-31 20:00:00,0.613355446043202,0.949858551,0.737325768232607
"3645",2016-05-31 21:00:00,0.589280853755403,0.593072069,0.645979688848249
"3646",2016-05-31 22:00:00,0.553396078726427,0.794286711,0.876162899966894
"3647",2016-05-31 23:00:00,0.929420358692258,0.95996672,0.880680030378553
"3648",2016-06-01 00:00:00,0.949858550799343,0.824066704,0.875696891038187
"3649",2016-06-01 01:00:00,0.644054485490135,0.375352156,0.824066703867075
"3650",2016-06-01 02:00:00,0.453585482792224,0.590076501,0.43037637779984
"3651",2016-06-01 03:00:00,0.828396625423687,0.361672168,0.382848121859856
"3652",2016-06-01 04:00:00,0.828396625423687,0.546404473,0.382848121859856
"3653",2016-06-01 05:00:00,0.384610003406455,0.593367215,0.396051484022829
"3654",2016-06-01 06:00:00,0.949858550799343,0.824066704,0.875696891038187
"3655",2016-06-01 07:00:00,0.672625332890051,0.850696329,0.878121404535143
"3656",2016-06-01 08:00:00,0.553396078726427,0.878121405,0.874387101597287
"3657",2016-06-01 09:00:00,0.878121404535143,0.858503181,0.949858550799343
"3658",2016-06-01 10:00:00,0.915369143996401,0.8761629,0.591751728156238
"3659",2016-06-01 11:00:00,0.876162899966894,0.80560037,0.844314651230429
"3660",2016-06-01 12:00:00,0.589280853755403,0.891639177,0.83224283024615
"3661",2016-06-01 13:00:00,0.613355446043202,0.844314651,0.959966720498239
"3662",2016-06-01 14:00:00,0.737325768232607,0.925856113,0.838628059148725
"3663",2016-06-01 15:00:00,0.965592138834514,0.854842568,0.672625332890051
